source,generation_twh,country,country_code,date,share_of_generation_pct
Bioenergy,50.95,Germany–Luxembourg,DE-LU,,
Coal,103.15,Germany–Luxembourg,DE-LU,,
Gas,82.73,Germany–Luxembourg,DE-LU,,
Hydro,19.61,Germany–Luxembourg,DE-LU,,
Nuclear,0.0,Germany–Luxembourg,DE-LU,,
Other fossil,18.98,Germany–Luxembourg,DE-LU,,
Other renewables,0.0,Germany–Luxembourg,DE-LU,,
Solar,90.09,Germany–Luxembourg,DE-LU,,
Wind,136.5,Germany–Luxembourg,DE-LU,,
Solar,28.5,Netherlands,NLD,2025,21.12
Bioenergy,6.85,Netherlands,NLD,2025,5.08
Coal,9.55,Netherlands,NLD,2025,7.08
Gas,47.09,Netherlands,NLD,2025,34.89
Hydro,0.05,Netherlands,NLD,2025,0.04
Nuclear,3.99,Netherlands,NLD,2025,2.96
Other fossil,5.23,Netherlands,NLD,2025,3.88
Other renewables,0.0,Netherlands,NLD,2025,0.0
Wind,33.7,Netherlands,NLD,2025,24.97
Bioenergy,0.24,Norway,NOR,2025,0.15
Coal,0.0,Norway,NOR,2025,0.0
Gas,0.9,Norway,NOR,2025,0.56
Hydro,144.77,Norway,NOR,2025,90.03
Nuclear,0.0,Norway,NOR,2025,0.0
Other fossil,0.71,Norway,NOR,2025,0.44
Other renewables,0.1,Norway,NOR,2025,0.06
Solar,0.53,Norway,NOR,2025,0.33
Wind,13.56,Norway,NOR,2025,8.43
Coal,1.74,France,FRA,2025,0.31
Gas,17.25,France,FRA,2025,3.03
Hydro,59.41,France,FRA,2025,10.42
Nuclear,392.07,France,FRA,2025,68.79
Other fossil,10.36,France,FRA,2025,1.82
Other renewables,0.57,France,FRA,2025,0.1
Solar,31.82,France,FRA,2025,5.58
Wind,46.49,France,FRA,2025,8.16
Bioenergy,10.27,France,FRA,2025,1.8
