,max,min,daily_spread
2025-07-01,63.979,23.39218,40.58682
2025-07-02,55.24198,20.15191,35.09007
2025-07-03,50.04139,20.62148,29.41991
2025-07-04,45.67315,-0.21301,45.88616
2025-07-05,50.18506,6.62971,43.55535
2025-07-06,57.51766,9.09939,48.41827
2025-07-07,69.78929,30.63672,39.15257
2025-07-08,78.96835,26.8849,52.08345
2025-07-09,72.84989,25.08692,47.76297
2025-07-10,72.50051,24.64354,47.856970000000004
2025-07-11,67.71655,20.29573,47.42082
2025-07-12,52.26627,12.17271,40.09356
2025-07-13,59.47794,15.2046,44.27334
2025-07-14,62.43234,24.80969,37.62265000000001
2025-07-15,58.15158,24.03589,34.11569
2025-07-16,54.14745,23.96137,30.18608
2025-07-17,52.213,26.20869,26.00431
2025-07-18,49.0609,25.81012,23.250779999999995
2025-07-19,47.03329,12.71698,34.31631
2025-07-20,45.75479,13.94944,31.80535
2025-07-21,49.55622,23.9778,25.578420000000005
2025-07-22,45.29951,15.42133,29.87818
2025-07-23,43.90065,13.88739,30.01326
2025-07-24,43.38865,11.33836,32.05029
2025-07-25,41.2073,9.47423,31.733069999999998
2025-07-26,39.54595,-7.321,46.866949999999996
2025-07-27,41.35746,-8.58845,49.945910000000005
2025-07-28,52.65075,19.4422,33.20855
2025-07-29,54.75279,18.25116,36.50163
2025-07-30,50.43895,14.96239,35.47656
2025-07-31,45.96945,9.56953,36.39992
2025-08-01,45.2263,15.79561,29.430690000000002
2025-08-02,45.16288,-1.31555,46.47843
2025-08-03,44.27594,-6.34843,50.62437
2025-08-04,48.39225,11.04519,37.34706
2025-08-05,60.99427,20.90101,40.09326
2025-08-06,66.09444,26.65831,39.436130000000006
2025-08-07,78.72,27.94065,50.779349999999994
2025-08-08,65.5719,29.89037,35.681529999999995
2025-08-09,53.8383,21.43406,32.40424
2025-08-10,57.44821,17.16435,40.283860000000004
2025-08-11,63.78779,23.95901,39.82878
2025-08-12,58.43955,28.7632,29.676349999999996
2025-08-13,50.0,22.98083,27.01917
2025-08-14,47.55694,18.17125,29.385689999999997
2025-08-15,44.37315,19.98,24.393150000000002
2025-08-16,40.77467,9.48488,31.28979
2025-08-17,44.46141,1.93875,42.52266
2025-08-18,50.28664,16.28649,34.00015
2025-08-19,58.28051,23.22887,35.05164
2025-08-20,64.73492,27.87868,36.85624
2025-08-21,100.22,32.85944,67.36055999999999
2025-08-22,112.58687,32.54391,80.04296000000001
2025-08-23,83.77043,37.10703,46.6634
2025-08-24,78.11641,28.86117,49.25524
2025-08-25,80.04481,35.35406,44.69075
2025-08-26,63.79796,34.59589,29.202070000000006
2025-08-27,53.57365,28.04019,25.53346
2025-08-28,55.3425,26.22288,29.11962
2025-08-29,55.76258,18.60597,37.15661
2025-08-30,60.77201,21.15575,39.61626
2025-08-31,66.27294,20.57119,45.701750000000004
2025-09-01,65.7419,22.85861,42.88329
2025-09-02,88.93071,34.4776,54.45311
2025-09-03,87.9389,35.52611,52.41279
2025-09-04,63.41953,29.57401,33.84552
2025-09-05,52.55013,23.82541,28.72472
2025-09-06,54.40471,13.43599,40.968720000000005
2025-09-07,50.56084,5.31531,45.24553
2025-09-08,57.10751,18.87988,38.22763
2025-09-09,50.47704,6.7609,43.71614
2025-09-10,48.90997,2.2549,46.65507
2025-09-11,49.23084,-0.33415,49.56499
2025-09-12,48.3262,2.5,45.8262
2025-09-13,46.0501,-6.12739,52.17749
2025-09-14,50.25838,-1.77342,52.031800000000004
2025-09-15,63.52346,16.80845,46.71501
2025-09-16,74.49508,20.82024,53.67484
2025-09-17,65.41883,27.90089,37.517939999999996
2025-09-18,60.96404,49.22886,11.73518
2025-09-19,55.79832,28.75895,27.039369999999998
2025-09-20,51.43288,19.0429,32.389979999999994
2025-09-21,51.57698,24.55488,27.0221
2025-09-22,63.22225,14.1958,49.026450000000004
2025-09-23,77.07052,23.56946,53.50106
2025-09-24,58.10858,32.19,25.918580000000006
2025-09-25,50.89951,9.00511,41.8944
2025-09-26,48.63831,10.2,38.43831
2025-09-27,47.57889,16.1,31.47889
2025-09-28,46.47242,3.42708,43.045339999999996
2025-09-29,51.93372,20.77591,31.15781
2025-09-30,46.63423,3.16679,43.46744
