hour,2025Q1,2025Q2,2025Q3,2025Q4
0,20591.289111111113,21894.28978021978,25805.22434782609,23737.295760869565
1,19969.02811111111,21071.254395604396,24402.311739130437,24457.933260869562
2,19414.93177777778,20227.621098901098,23304.67217391304,24082.78489130435
3,19220.802,19825.350000000002,22660.58097826087,23604.06836956522
4,19541.346777777777,19924.41923076923,22575.971630434782,23322.244891304344
5,20625.677555555554,20645.1889010989,23073.103043478262,23144.245978260868
6,22280.69188888889,21604.086373626375,23987.907391304347,22787.206739130434
7,23130.536,22092.81043956044,24412.48967391304,22210.605869565217
8,22361.228222222224,21495.946813186813,24357.750543478258,21621.695326086956
9,21052.40233333333,20377.051648351648,23950.166630434782,20765.988695652173
10,19682.970333333335,19320.02164835165,23613.103369565215,20065.543586956523
11,18733.368444444444,18561.812087912087,23784.13489130435,19678.56239130435
12,18301.69922222222,18364.674835164835,24550.089239130433,19758.226413043478
13,18411.358,18707.182197802198,25926.558260869562,20539.23891304348
14,18985.46677777778,19434.287582417583,27649.874456521742,21760.79902173913
15,20137.030222222224,20630.368461538463,29583.170217391307,22616.6325
16,21982.941348314605,22407.261868131867,31492.291195652175,22974.87989130435
17,23967.294111111114,24644.781208791206,33379.748478260866,23012.0978021978
18,24919.11866666667,26280.116483516485,34094.21543478261,22671.70879120879
19,24969.586333333333,26880.68846153846,33646.32641304348,22329.72043956044
20,24605.630444444447,26829.51934065934,32816.3447826087,22000.164945054945
21,23759.172555555553,25875.668681318683,31322.824021739132,22073.993846153844
22,22550.54811111111,24422.002087912086,29315.825978260873,22316.488901098903
23,21240.294444444444,22851.37021978022,27168.473260869567,22783.094835164837
