hour,2025Q1,2025Q2,2025Q3,2025Q4
0,18912.315740740738,19519.452380952378,23582.93297101449,20006.894021739132
1,18265.70462962963,18656.505494505494,22168.47554347826,19204.974358974356
2,17651.916666666664,17795.296703296703,21090.96286231884,18477.91304347826
3,17419.61018518518,17463.371794871793,20472.8134057971,18112.567934782604
4,17769.977777777778,17719.75457875458,20465.618659420288,18263.5625
5,18907.617592592593,18556.236263736264,21243.02445652174,19199.166666666664
6,20523.25277777778,17179.532967032967,21278.144021739132,20611.440217391304
7,18396.700925925925,9777.57509157509,15218.127717391304,18356.942028985504
8,10591.3,3873.103479853479,8062.539855072463,11332.511775362318
9,5964.260185185183,1132.801282051282,5065.817028985508,7415.717391304346
10,3905.6574074074065,-823.8205128205132,3740.923007246377,5820.213768115942
11,2617.1703703703697,-1874.940476190476,3368.480072463769,4940.826992753622
12,2066.1370370370364,-2163.35347985348,3821.7463768115936,4705.492753623187
13,2310.5518518518506,-1734.9606227106226,5189.217391304347,5312.657608695651
14,3509.12037037037,-732.7042124542132,7141.89402173913,7004.072463768115
15,6347.410185185184,791.0705128205122,9560.753623188406,11508.326086956518
16,12565.330555555556,2918.0705128205122,12273.709239130434,17937.59420289855
17,18649.355805243446,6881.982600732599,17008.027173913044,23072.06135531135
18,21806.505555555552,15069.515567765566,24771.272644927532,24845.846153846152
19,22745.05833333333,22814.569597069596,30016.474637681156,24449.688644688642
20,22389.477777777778,24304.53021978022,30319.445652173912,23824.22985347985
21,21854.208333333332,23718.655677655675,29213.523550724636,23239.95879120879
22,20725.93148148148,22271.435897435895,27208.92391304348,22058.52380952381
23,19435.209764309762,20571.922827172828,25026.27552700922,20658.915168165167
