hour,2025Q1,2025Q2,2025Q3,2025Q4
0,48936.96244444445,54037.325934065935,60977.76347826087,49170.54347826087
1,47455.07322222222,51041.314175824176,57739.89510869565,47277.66369565217
2,46580.89911111111,48888.43527472528,55199.68489130434,45889.85119565217
3,46208.184494382025,47378.517582417575,53308.12195652174,45021.41456521739
4,46171.94522222222,46486.831208791205,52110.04815217391,44620.66489130435
5,46888.923888888894,46308.603626373624,51670.335543478264,44898.53630434782
6,48586.49,47074.11296703297,52143.65967391305,46112.97532608696
7,51208.062666666665,48399.14758241758,53171.36956521739,48170.98597826087
8,52658.79555555555,49441.6410989011,53718.80119565217,49288.16336956522
9,52934.10277777778,51348.48373626374,56037.94326086957,50097.79663043479
10,52882.238,53675.822087912085,59515.90619565218,51298.12413043478
11,52518.728111111115,56045.63483516483,63303.882065217396,52449.11304347827
12,52021.39033333333,58315.26010989011,67070.87880434783,53540.00010869565
13,51607.15144444444,60464.90769230769,70518.47891304348,54649.46173913044
14,51442.60955555556,62451.35087912087,73389.82510869566,55812.65217391304
15,51387.929777777776,64027.01439560439,75123.17673913043,56786.385869565216
16,51555.47188888889,65159.03967032967,76180.08293478261,57509.84923913043
17,52175.99766666667,65981.2398901099,76699.27934782609,57844.001086956516
18,53109.69488888889,66079.26505494506,76398.77391304348,57794.43934782608
19,53950.66855555555,65160.90857142857,75013.41543478261,57154.961956521736
20,53944.83966666667,63296.955274725275,72757.31000000001,56051.923804347825
21,53640.016,61647.91747252747,70517.05445652174,54996.977934782604
22,52683.74788888889,60024.4621978022,68063.80423913043,53594.80358695652
23,50856.77533333334,57261.528351648354,64630.21130434783,51487.0922826087
