hour,2025Q1,2025Q2,2025Q3,2025Q4
0,31400.391539784567,33806.027399782186,43878.777390762225,31127.525515634552
1,30727.215055335873,32083.41126046073,41998.69862378924,30178.90268293234
2,30503.388750010046,31246.808964002612,40870.95755761969,29840.93715101625
3,30728.09122183651,30838.892392025165,40410.14286014811,29804.946418862673
4,31498.848234028592,31009.204326563675,40626.71055174803,30514.196938685513
5,33323.34853091381,32083.075974838674,41739.72995602684,32082.329426075652
6,36159.31085860941,33744.37177276682,43279.103550065236,34452.95001356469
7,37260.02868678739,32356.14579280651,42390.577271141,34824.263994956294
8,33095.52475020232,28214.715401114998,37956.915265926415,30092.58545369687
9,28689.772803186486,26377.378560048754,35675.52824983735,26273.86957085651
10,26969.005617630566,26481.219538314876,35696.67919128528,25382.72078118808
11,25939.579661458338,27422.86908685593,37369.16222705012,25450.058562790135
12,25346.14988706235,28599.43325202019,40188.39585334667,26236.4813874839
13,25290.205859194153,30102.769923283504,42713.75712585449,27221.01971114891
14,25533.66078979492,31552.20254851959,44466.9067171622,28075.629582944115
15,26105.83971800524,32875.68580646242,45843.973211366356,29542.133412361392
16,28204.74670636212,34139.46392587515,46961.7446138686,34647.06805900905
17,34118.112480719465,35478.44893459744,48298.04938204853,41300.81686935983
18,38526.156758151585,38392.50554732438,52179.961946309006,43497.9547026226
19,39577.661238342946,44099.69610538936,57541.83505906852,42017.3475653805
20,38358.26242420538,46031.11291840347,58105.21799931228,39555.12401255558
21,36665.01007644262,43658.03085442638,54730.16414240577,37371.75945886883
22,34606.27014647547,40258.430734496695,50555.44543509033,34916.3258852295
23,32656.477176817185,36900.122930228354,46771.03374256383,32712.011794576512
