,max,min,daily_spread
2025-07-01,137.188065,27.067707,110.120358
2025-07-02,106.050799,24.947528,81.103271
2025-07-03,148.551713,23.353228,125.198485
2025-07-04,76.704134,20.171142,56.53299199999999
2025-07-05,93.113028,17.59366,75.519368
2025-07-06,142.016145,19.530345,122.4858
2025-07-07,156.427935,25.870105,130.55783
2025-07-08,236.842886,25.850536,210.99235
2025-07-09,188.962447,26.068225,162.89422199999998
2025-07-10,92.885618,26.579069,66.30654899999999
2025-07-11,160.532611,21.699676,138.832935
2025-07-12,156.335455,25.594595,130.74086
2025-07-13,88.835448,22.306076,66.529372
2025-07-14,112.173812,25.288136,86.88567599999999
2025-07-15,187.129316,23.10873,164.02058599999998
2025-07-16,210.697904,25.673509,185.024395
2025-07-17,337.239398,27.171115,310.068283
2025-07-18,126.598087,27.25385,99.344237
2025-07-19,96.695672,15.766631,80.929041
2025-07-20,218.678913,19.676428,199.00248499999998
2025-07-21,88.768958,19.680716,69.088242
2025-07-22,87.305745,19.341715,67.96403000000001
2025-07-23,113.945081,20.338722,93.606359
2025-07-24,199.159656,23.414784,175.74487200000002
2025-07-25,328.589437,26.737707,301.85173
2025-07-26,156.571376,25.431068,131.14030799999998
2025-07-27,165.309206,22.17252,143.136686
2025-07-28,366.315792,25.433458,340.882334
2025-07-29,578.374744,27.941145,550.433599
2025-07-30,372.205093,27.341665,344.863428
2025-07-31,146.581847,23.138349,123.443498
2025-08-01,52.699884,21.444959,31.254924999999997
2025-08-02,41.371195,17.396267,23.974928
2025-08-03,45.459862,15.129062,30.330800000000004
2025-08-04,78.58434,16.903129,61.681211
2025-08-05,70.596992,18.802709,51.794283
2025-08-06,75.352184,20.491643,54.860541
2025-08-07,88.812081,21.672606,67.139475
2025-08-08,88.364022,20.841495,67.52252700000001
2025-08-09,99.44359,18.583779,80.85981100000001
2025-08-10,78.970341,17.908776,61.061565
2025-08-11,109.189259,22.196462,86.99279700000001
2025-08-12,150.983695,22.491691,128.492004
2025-08-13,139.873102,26.023587,113.849515
2025-08-14,166.443265,22.602254,143.841011
2025-08-15,145.199985,23.385799,121.814186
2025-08-16,94.867267,20.955069,73.91219799999999
2025-08-17,170.614902,22.411666,148.203236
2025-08-18,103.543589,23.829647,79.713942
2025-08-19,93.440359,20.947519,72.49284
2025-08-20,61.424491,22.091074,39.333417000000004
2025-08-21,50.46833,19.158538,31.309792
2025-08-22,59.229296,15.78201,43.447286
2025-08-23,48.508488,15.699625,32.808863
2025-08-24,46.441943,15.191837,31.250106000000002
2025-08-25,51.142625,16.711833,34.430792000000004
2025-08-26,43.928988,15.495996,28.432992
2025-08-27,44.109335,11.993645,32.11569
2025-08-28,47.005675,13.69649,33.309185
2025-08-29,46.599231,14.702498,31.896733000000005
2025-08-30,45.017174,11.178804,33.83837
2025-08-31,48.184167,9.755159,38.429008
2025-09-01,58.473826,11.494209,46.979617000000005
2025-09-02,72.498791,15.012901,57.48589
2025-09-03,57.155931,14.164689,42.991242
2025-09-04,64.308199,15.979055,48.329144
2025-09-05,110.02594,2.498181,107.527759
2025-09-06,73.108366,18.674438,54.43392800000001
2025-09-07,50.4663,16.394763,34.07153699999999
2025-09-08,65.52151,15.377031,50.144479000000004
2025-09-09,69.498845,8.530549,60.968296
2025-09-10,74.66237,15.859742,58.802628
2025-09-11,72.449715,16.915199,55.534515999999996
2025-09-12,87.089121,16.318261,70.77086
2025-09-13,63.98002,16.968209,47.011811
2025-09-14,77.730408,14.985027,62.745380999999995
2025-09-15,120.360479,16.035535,104.324944
2025-09-16,84.955986,16.687802,68.26818399999999
2025-09-17,91.419481,16.887394,74.532087
2025-09-18,111.255069,14.593525,96.661544
2025-09-19,123.118484,17.159541,105.95894299999999
2025-09-20,88.230696,12.780478,75.45021799999999
2025-09-21,87.13809,11.224207,75.913883
2025-09-22,118.75237,11.334791,107.417579
2025-09-23,146.403192,16.320026,130.083166
2025-09-24,129.866373,19.340275,110.52609800000002
2025-09-25,123.322756,20.311333,103.011423
2025-09-26,124.397329,23.032358,101.364971
2025-09-27,92.088121,18.623338,73.464783
2025-09-28,135.89488,17.716174,118.178706
2025-09-29,161.404948,18.745823,142.659125
2025-09-30,115.745776,19.489285,96.25649100000001
