hour,2025Q1,2025Q2,2025Q3,2025Q4
0,91952.96545555556,79352.76951648352,89896.05098913042,84214.84125
1,90452.9342888889,76172.94741758241,85537.68839130436,82364.5957771739
2,89961.56031460674,74101.41803296703,82461.81167391303,81351.48541304348
3,90120.15651111111,73022.70258241758,80542.83485869566,81178.6420326087
4,91661.0526,73351.50568131868,80180.06830434782,82351.30501086956
5,95305.89156666667,75643.5131978022,81903.58923913044,85586.40434782609
6,100838.16994444444,79567.7418021978,85315.65068478261,90787.65094565217
7,104620.98091111111,83290.06873626374,88907.0005326087,94511.92841304348
8,104693.70764444445,85900.81276923078,92764.75375,95170.46660869564
9,102837.7994888889,87856.83764835165,96771.20541304348,94366.7592826087
10,100793.45446666668,89651.12773626373,101101.45807608694,93450.86823913045
11,98915.82569999999,91261.51965934066,105427.74792391305,92628.41810869565
12,97393.13425555556,92770.81091208791,109551.69936956522,92133.68667391305
13,96298.7597,94191.19658241759,113340.15466304348,92002.95657608696
14,95538.44706666666,95241.17464835163,116176.57585869565,92105.27270652173
15,95774.33547777777,96269.26449450549,118413.6665,93042.11325
16,97790.3930111111,97651.60846153845,120311.98564130435,95512.69011956522
17,101335.19099999999,98824.88991208792,121165.52352173915,98774.75942391306
18,103819.20532222223,98772.20358241758,119814.16254347826,99446.5705
19,104403.55014444445,98022.8916043956,116828.66663043479,99034.89878260868
20,103846.80255555557,97135.0034945055,113263.39615217391,97562.79592391304
21,101560.65276666667,94709.35208791208,108710.96969565217,94906.52190217392
22,97988.38005555555,89704.08161538461,102184.47153260869,91152.10321739131
23,94447.68064444444,84224.40173626374,95390.32225,87336.42827173913
