hour,2025Q1,2025Q2,2025Q3,2025Q4
0,526.2638888888889,1199.9478021978023,827.6983695652174,457.92119565217394
1,116.3324074074074,497.5485347985348,109.86684782608695,-49.222527472527474
2,-233.88148148148147,14.726190476190478,-396.2708333333333,-519.0407608695652
3,-287.825,-39.44597069597069,-653.8768115942029,-628.5733695652174
4,119.97777777777777,246.86813186813185,-421.8795289855072,-283.92391304347825
5,1011.5148148148147,1210.2380952380952,262.9103260869565,559.3505434782609
6,2499.5962962962963,1164.363553113553,831.7807971014493,2251.0280797101445
7,1250.9842592592593,-1569.3919413919414,-1625.6920289855072,837.8632246376812
8,-1619.825,-3393.919413919414,-4858.357789855073,-2632.4737318840575
9,-3421.177777777778,-4476.408424908425,-6429.660326086957,-4779.985507246377
10,-4394.7444444444445,-5315.916666666667,-7009.173913043478,-5862.808876811594
11,-5166.735185185185,-5696.293956043956,-6824.522644927537,-6459.363224637681
12,-5444.467592592592,-5425.928571428572,-5744.389492753624,-6429.551630434783
13,-5028.564814814815,-4852.460622710623,-4104.140398550725,-5751.116847826087
14,-4085.590740740741,-3722.1410256410254,-2361.4547101449275,-4250.59963768116
15,-2105.162962962963,-2490.2399267399264,-998.0815217391304,-1043.9565217391305
16,524.0084269662922,-1531.9917582417581,-453.2853260869565,2646.669384057971
17,3113.925,-292.68589743589746,874.0217391304348,5069.340659340659
18,4165.556481481482,2438.8580586080584,5016.721920289855,5759.0
19,4408.857407407408,7207.6336996336995,8199.03079710145,5065.18315018315
20,3870.7027777777776,7552.8489010989015,8055.301630434783,4407.631868131868
21,3114.1444444444446,6370.2170329670325,6666.03170289855,3658.120879120879
22,1867.6074074074072,3922.285714285714,3483.4574275362315,1967.819597069597
23,768.3111111111111,1799.7844655344654,1575.268033596838,822.3003663003662
