timestamp,caiso,ercot,pjm
2025-01-01,45.86494,43.01,34.831665
2025-01-02,52.05364,45.43,55.878355
2025-01-03,51.61281,54.61,55.261664
2025-01-04,45.24486,13.97,68.770806
2025-01-05,46.87011,26.83,62.827264
2025-01-06,50.18845,113.26,88.829923
2025-01-07,57.38301,112.06,138.211964
2025-01-08,53.10664,81.79,164.89736
2025-01-09,58.10832,87.73,208.861403
2025-01-10,50.39845,68.45,161.423886
2025-01-11,48.20647,38.32,59.314968
2025-01-12,55.95162,42.22,76.608704
2025-01-13,59.66824,80.42,93.732981
2025-01-14,70.67262,73.04,111.360299
2025-01-15,67.99408,77.56,121.07703
2025-01-16,64.34244,105.65,154.03042
2025-01-17,56.85952,34.78,89.649887
2025-01-18,79.23254,39.81,59.527593
2025-01-19,71.00037,128.03,202.639665
2025-01-20,85.0,83.0,362.127675
2025-01-21,91.07667,182.39,344.292154
2025-01-22,71.32528,140.43,394.385123
2025-01-23,66.87965,69.61,314.535528
2025-01-24,63.37677,54.25,183.643519
2025-01-25,54.68305,50.43,155.378835
2025-01-26,61.6644,66.77,52.220105
2025-01-27,69.36079,74.39,78.964356
2025-01-28,75.58,76.28,90.281633
2025-01-29,63.22991,54.68,59.418746
2025-01-30,59.22393,36.21,85.850741
2025-01-31,58.84447,70.92,73.476915
2025-02-01,52.37216,45.12,44.075724
2025-02-02,52.86459,41.49,53.969968
2025-02-03,58.73619,61.18,61.0777
2025-02-04,60.849,39.04,54.062672
2025-02-05,56.13133,38.44,63.433213
2025-02-06,58.29069,56.19,51.282902
2025-02-07,54.21804,47.94,65.611768
2025-02-08,48.45833,53.14,56.127076
2025-02-09,56.71069,47.03,53.388734
2025-02-10,66.16495,63.59,90.098222
2025-02-11,57.40479,41.56,72.923731
2025-02-12,68.46108,53.7,69.605389
2025-02-13,64.0292,106.69,63.585819
2025-02-14,58.278,44.02,100.665215
2025-02-15,59.39452,35.49,52.756349
2025-02-16,57.41635,54.71,47.784809
2025-02-17,55.91399,40.18,85.554356
2025-02-18,68.07,36.62,133.012389
2025-02-19,65.36995,119.63,168.315324
2025-02-20,69.97999,913.72,192.459036
2025-02-21,64.16898,240.63,261.80543
2025-02-22,52.25199,113.65,93.689868
2025-02-23,41.85101,67.58,56.69187
2025-02-24,50.55471,60.92,78.150587
2025-02-25,47.28009,61.49,69.841661
2025-02-26,57.4974,36.27,56.860992
2025-02-27,59.15671,69.21,51.123157
2025-02-28,56.13374,70.86,60.221143
2025-03-01,48.69806,76.62,71.423908
2025-03-02,47.43355,50.05,89.535305
2025-03-03,48.65059,46.05,152.52747
2025-03-04,59.21516,50.29,81.496543
2025-03-05,70.0109,94.78,53.564021
2025-03-06,66.24169,52.52,85.553142
2025-03-07,60.09602,137.38,104.402533
2025-03-08,59.54328,48.88,66.728537
2025-03-09,73.5463,128.76,74.32592
2025-03-10,74.52082,94.26,143.141578
2025-03-11,71.9609,76.84,91.242843
2025-03-12,66.3562,68.85,105.834427
2025-03-13,62.22948,89.8,93.260076
2025-03-14,71.71943,78.32,90.332904
2025-03-15,51.33618,102.4,43.216872
2025-03-16,51.85567,171.7,67.000008
2025-03-17,63.84773,50.43,88.82299
2025-03-18,60.32407,59.24,166.947486
2025-03-19,74.47672,53.78,92.987177
2025-03-20,61.82245,131.36,87.200975
2025-03-21,60.37478,94.14,123.411009
2025-03-22,46.64048,45.43,68.173324
2025-03-23,50.94334,50.6,50.564578
2025-03-24,60.65992,228.36,69.517177
2025-03-25,58.72482,159.69,98.975565
2025-03-26,44.93591,50.79,109.564689
2025-03-27,34.25507,51.32,172.072051
2025-03-28,25.43588,62.45,77.81664
