hour,2025Q1,2025Q2,2025Q3,2025Q4
0,27.73552777777778,28.89931318681319,29.87024456521739,30.754103260869567
1,25.748777777777775,26.329945054945057,27.647907608695654,29.391358695652176
2,25.323694444444445,24.89706043956044,26.30116847826087,29.109032258064516
3,25.806039325842697,24.411730769230772,25.571820652173916,29.061711956521737
4,27.74752777777778,25.276730769230767,26.02067934782609,30.360516304347826
5,34.98930555555555,28.227664835164838,27.545516304347824,34.760489130434784
6,51.05155555555556,31.363241758241756,29.821603260869566,38.68826086956522
7,54.46222222222222,28.435384615384613,27.44929347826087,38.69717391304348
8,35.08738888888889,20.779642857142857,21.049021739130435,27.094646739130436
9,24.830111111111112,17.947774725274726,18.760896739130434,21.00171195652174
10,21.25133333333333,18.238379120879124,19.836358695652173,20.01266304347826
11,19.210694444444446,19.615824175824176,22.42296195652174,20.300923913043476
12,18.03747222222222,21.90956043956044,26.748070652173915,21.662038043478262
13,17.779972222222224,24.57752747252747,30.455000000000002,23.512635869565216
14,17.520027777777777,26.447499999999998,33.33741847826087,24.967092391304345
15,18.49191666666667,28.927692307692308,35.54279891304348,27.222798913043476
16,22.384972222222224,30.990137362637363,37.92184782608695,40.488125
17,35.65069444444445,33.363021978021976,41.75807065217391,58.410869565217396
18,46.672916666666666,43.519038461538464,60.02782608695652,62.97098901098901
19,52.15877777777778,77.81266483516484,81.62877717391304,56.458873626373624
20,45.76888888888889,81.05873626373626,77.81157608695652,45.97332417582418
21,36.68038888888889,56.85365384615385,58.59842391304348,39.08903846153846
22,31.7815,41.489615384615384,41.43730978260869,35.4757967032967
23,28.729805555555554,31.8728021978022,33.267853260869565,30.849532967032967
