hour,2025Q1,2025Q2,2025Q3,2025Q4
0,-781.4468064814814,-759.6419038461538,-620.1629429347828,-1021.9267146739129
1,-661.1612796296297,-648.6925521978021,-574.8625181159421,-817.1665226449276
2,-377.15066944444453,-369.0063406593407,-366.3162237318841,-473.17251721014503
3,-6.6172777777777725,-25.82841025641027,-98.3315398550725,35.52651358695658
4,953.0271407407405,540.2982774725275,333.7951548913043,1097.7321576086956
5,1665.9246555555553,287.53003846153865,-43.46847010869568,1483.370477355073
6,260.12902407407404,-1097.6109734432234,-2089.247523550724,-693.0844791666666
7,-826.4488629629627,-1706.6053965201465,-3783.431658514493,-2289.7375806159425
8,-1024.4975166666668,-1365.411274725274,-2924.27361865942,-2237.6881005434784
9,-1092.2630064814816,-946.4465998168497,-1445.0139764492753,-1770.210732789855
10,-1015.0413342592593,-687.7471317016317,-684.583177536232,-1359.3053976449278
11,-1006.226812962963,-525.3133791208791,-307.70741032608703,-1142.817889492754
12,-1017.4705287037041,-431.2865024142524,-161.31615760869562,-1050.9516639492754
13,-801.6548995791243,-307.92214938394955,-136.45738079710148,-790.4690604468598
14,-364.57069722222224,-224.201326007326,-171.2715181159421,320.28130887681164
15,604.7969631172839,-146.21209065934067,-152.3529311868687,2738.2696022068512
16,1580.9468202113428,137.03252197802198,842.6352074275366,3427.649268115942
17,1586.1160027777782,1861.2139450549453,3567.059453804348,2392.46388003663
18,948.9426814814816,3074.5029532967033,4158.219621376811,881.1202353479852
19,295.0293851851852,1620.277093406593,1887.7893170289858,115.3740375457874
20,-103.73124999999992,263.66964743589756,257.51453532608696,-367.0836391941392
21,-385.98933333333326,-371.36993498168493,-255.0846132246377,-701.5661108058608
22,-514.2340259259258,-435.6065521978021,-382.6740208333334,-825.1674130036632
23,-770.1838083333331,-645.5604294871795,-529.5167436594203,-1000.3386602564102
