hour,2025Q1,2025Q2,2025Q3,2025Q4
0,31.05697620421991,12.415616667014053,8.409531401086522,23.74183886413786
1,30.811198647435255,10.658618634044,6.274287180756961,21.83858107593401
2,31.518337159012,9.988528058157506,5.074009828456115,21.793403233299454
3,33.01896469374832,10.271361541080624,4.67189141054632,22.279192993995725
4,34.15678933469925,10.436009070788343,4.914992830852665,24.179707173204058
5,39.50151654853452,11.744488990416494,6.59573941268611,28.06882777207056
6,49.545559797303106,20.53592532974266,9.998093732552542,40.79096701507475
7,58.95517556125876,21.85624862149953,11.346898631484693,48.6277489909451
8,42.89846419630969,13.548228896105003,10.134776768342896,27.473111294844617
9,34.42819692890522,13.148067538331635,10.813766924570993,20.53023051312841
10,33.865195356202825,13.87670763203348,11.36321511718254,18.675063570163026
11,30.557565443700167,16.776643645228827,15.10549790821746,17.599712542025397
12,29.440800486072455,20.51191581434345,19.925088479666776,16.179451947620908
13,27.732951452604226,25.31119357625737,25.93095759502556,15.901919414048653
14,27.309869242826615,30.193464626613945,32.44246279689945,16.55513366702121
15,29.399686523015546,36.48699837562839,41.07933594413548,18.17959350134578
16,33.67086693709944,48.12122811801871,54.61248531543986,27.340948943190394
17,46.11519142744469,56.642833599960944,64.91612712998197,36.25103199471356
18,46.99216356440311,57.23906951742631,66.1007581443459,37.97521973269327
19,44.38058363929818,53.75538818137,62.12610237168188,35.85415047692891
20,42.55796282431564,36.5837503844348,35.844401312780384,29.899224605454556
21,41.17403325533093,21.46774236914671,19.49332267355767,26.580456593239624
22,37.687043754498596,14.480150297185558,12.236681817362623,23.35523397783459
23,35.58128369562909,11.601160668073389,9.726654886282118,21.155122049839836
