hour,2025Q1,2025Q2,2025Q3,2025Q4
0,10.233663799649182,6.262672428938363,5.2067691976122035,7.774229106865233
1,10.102273901159158,5.698865669816411,4.530049942767708,7.309543916955897
2,10.013210678747347,5.390468119729346,4.34625253179318,7.085165828378187
3,10.034966864509437,5.260794862621652,4.062545111046522,7.059830331490066
4,10.60627110391571,5.566274023006836,4.011071136185621,7.021800613811468
5,11.563284931287008,6.233624045483482,4.401978910891506,7.730602739176267
6,11.810142477077566,8.674902317944621,7.056483104499506,9.165889834642764
7,14.00420308930088,12.270139204920046,10.089553024897075,11.02931763994679
8,19.007220025630286,12.015263097868665,11.401978138076776,14.268313925260305
9,19.949031730722133,12.171865495250985,11.850125186953727,16.6499353889932
10,20.107959579738083,13.072867037753888,10.942254301921713,16.06567383006098
11,20.076527623617878,12.630434186771117,10.906884299530999,15.906257879858487
12,19.211932259953922,12.647713396660667,10.909490921953244,15.24252677144667
13,18.720924318300774,12.588107946983365,11.279199065833744,15.269551441298544
14,19.52944376402274,12.482363946330882,12.391454193121156,16.01471712795128
15,23.004832341501697,13.258624995592024,13.418699545572034,19.615093678781435
16,28.757013807247137,14.682055224273022,13.084548902803963,17.603883487131885
17,23.20513270612822,15.366241372739417,11.31062468276236,8.1914215345268
18,11.7697608465829,9.2743453457172,11.970715426274246,7.278920552700235
19,10.861371756685768,10.303500441249268,12.649410381391263,7.156455979311536
20,10.750019553250024,9.512242008479216,9.23943736326247,7.081731202422708
21,10.63354374362704,7.567904014385413,7.661062901026435,7.09295813482779
22,10.353695012129913,6.549718592428691,6.688062151343896,6.875976019900519
23,10.050600134614081,5.898069381249733,5.602185450241883,6.747595886381215
