,max,min,daily_spread
2025-07-01,122.37,23.7,98.67
2025-07-02,68.7,26.24,42.46000000000001
2025-07-03,53.35,18.15,35.2
2025-07-04,43.44,17.9,25.54
2025-07-05,56.28,17.48,38.8
2025-07-06,63.92,17.65,46.27
2025-07-07,71.72,23.07,48.65
2025-07-08,75.19,17.92,57.269999999999996
2025-07-09,56.27,21.41,34.86
2025-07-10,59.16,15.42,43.739999999999995
2025-07-11,56.04,7.13,48.91
2025-07-12,73.47,14.68,58.79
2025-07-13,86.85,21.76,65.08999999999999
2025-07-14,86.45,27.24,59.21000000000001
2025-07-15,64.51,15.42,49.09
2025-07-16,75.16,11.07,64.09
2025-07-17,92.75,18.16,74.59
2025-07-18,63.54,17.57,45.97
2025-07-19,57.91,8.46,49.449999999999996
2025-07-20,56.53,3.12,53.410000000000004
2025-07-21,72.87,10.5,62.370000000000005
2025-07-22,65.94,11.96,53.98
2025-07-23,81.99,14.25,67.74
2025-07-24,133.37,13.63,119.74000000000001
2025-07-25,135.44,22.12,113.32
2025-07-26,51.58,18.72,32.86
2025-07-27,55.2,11.83,43.370000000000005
2025-07-28,94.45,14.19,80.26
2025-07-29,140.35,13.79,126.56
2025-07-30,514.32,18.76,495.56000000000006
2025-07-31,219.38,19.36,200.01999999999998
2025-08-01,121.66,22.25,99.41
2025-08-02,83.52,24.11,59.41
2025-08-03,91.77,16.66,75.11
2025-08-04,62.24,19.38,42.86
2025-08-05,55.89,12.92,42.97
2025-08-06,56.39,9.39,47.0
2025-08-07,90.54,13.67,76.87
2025-08-08,76.52,10.71,65.81
2025-08-09,51.4,9.33,42.07
2025-08-10,65.42,12.77,52.650000000000006
2025-08-11,167.95,21.26,146.69
2025-08-12,287.65,23.98,263.66999999999996
2025-08-13,164.92,23.99,140.92999999999998
2025-08-14,98.16,16.98,81.17999999999999
2025-08-15,55.6,14.68,40.92
2025-08-16,76.1,18.2,57.89999999999999
2025-08-17,92.03,13.86,78.17
2025-08-18,241.16,20.18,220.98
2025-08-19,302.83,25.96,276.87
2025-08-20,117.37,23.02,94.35000000000001
2025-08-21,76.17,24.62,51.55
2025-08-22,65.31,24.64,40.67
2025-08-23,63.83,18.3,45.53
2025-08-24,91.9,17.17,74.73
2025-08-25,82.9,18.33,64.57000000000001
2025-08-26,50.98,20.63,30.349999999999998
2025-08-27,60.47,19.72,40.75
2025-08-28,159.01,8.26,150.75
2025-08-29,125.47,25.21,100.25999999999999
2025-08-30,57.21,25.66,31.55
2025-08-31,56.1,25.87,30.23
2025-09-01,74.95,23.34,51.61
2025-09-02,76.87,19.6,57.27
2025-09-03,109.62,17.78,91.84
2025-09-04,102.25,16.03,86.22
2025-09-05,77.75,16.02,61.730000000000004
2025-09-06,60.75,26.44,34.31
2025-09-07,56.15,18.68,37.47
2025-09-08,54.41,12.2,42.209999999999994
2025-09-09,47.45,5.28,42.17
2025-09-10,60.08,10.94,49.14
2025-09-11,64.6,15.76,48.839999999999996
2025-09-12,57.89,13.42,44.47
2025-09-13,53.87,12.87,41.0
2025-09-14,91.5,13.57,77.93
2025-09-15,78.67,17.78,60.89
2025-09-16,86.86,17.82,69.03999999999999
2025-09-17,74.11,16.77,57.34
2025-09-18,77.98,18.76,59.22
2025-09-19,66.94,18.73,48.209999999999994
2025-09-20,66.99,17.3,49.69
2025-09-21,68.22,13.8,54.42
2025-09-22,91.05,17.48,73.57
2025-09-23,105.49,14.63,90.86
2025-09-24,60.5,22.27,38.230000000000004
2025-09-25,94.08,19.38,74.7
2025-09-26,70.79,14.49,56.300000000000004
2025-09-27,64.18,13.15,51.03000000000001
2025-09-28,71.47,14.45,57.019999999999996
2025-09-29,85.37,18.38,66.99000000000001
2025-09-30,88.96,18.67,70.28999999999999
