time,DE-LU->FR,DE-LU->NL,DE-LU->NO2
2025-01-05,-1249.9562416666668,261.8124722222222,-500.1596319444444
2025-01-12,-1842.166261904762,1051.5941865079365,-458.14025793650796
2025-01-19,-2128.562169642857,-2249.0530357142857,-1285.0118253968253
2025-01-26,-2604.6534345238097,-392.25424603174605,-1098.9403968253969
2025-02-02,-2670.3215833333334,90.33486111111111,-987.6809722222222
2025-02-09,-501.09312500000004,-963.0357539682539,-1187.462142857143
2025-02-16,-1599.3156220238095,-1021.2504365079365,-1167.6759126984127
2025-02-23,-2068.2970148809522,-1128.5759523809525,-1056.1525595238095
2025-03-02,-2477.4663660714286,-1669.59751984127,-1193.0760069444445
2025-03-09,-1160.5891339285715,-136.5274404761905,-633.6722767857143
2025-03-16,-1528.3039642857143,-2192.991130952381,-863.191507936508
2025-03-23,-1200.5620595238095,-325.03785714285715,-470.6363194444445
2025-03-30,-1635.376619047619,-248.8088392857143,-711.8383382936508
2025-04-06,-1600.2874077380952,-109.50380456349207,-535.450257936508
2025-04-13,-1643.217925595238,-514.788685515873,-630.6131250000001
2025-04-20,-1452.1755178571427,785.8677777777779,-667.3947966269841
2025-04-27,-1752.145619047619,-18.206051587301594,-855.7904563492064
2025-05-04,-1749.1213611111114,-418.8031944444444,-472.76695436507936
2025-05-11,-2750.5802509920636,-983.7887896825397,-522.9753422619048
2025-05-18,-1891.0663472222222,-686.447876984127,-408.0372172619048
2025-05-25,-2159.0186894841268,-335.5953968253968,-582.5212202380952
2025-06-01,-2322.6837628968256,-594.6500992063493,-501.5708928571429
2025-06-08,-2574.56073015873,-571.739503968254,-449.78149305555553
2025-06-15,-2072.046755952381,-348.3181547619048,-128.87771825396825
2025-06-22,-1730.7280535714287,-606.4819642857143,-303.6168204365079
2025-06-29,-1151.1682053571428,-441.93011904761903,-470.89127976190474
2025-07-06,-1627.6744732142859,-678.7665277777778,-896.8436011904762
2025-07-13,-2704.6882569444447,-676.4283928571429,-891.4411408730159
2025-07-20,-2886.961661706349,-1567.5522817460317,-649.8165972222223
2025-07-27,-3203.2735912698417,-1326.0129761904761,-646.1913392857143
2025-08-03,-2919.3595972222224,-685.5653174603174,-639.4018253968254
2025-08-10,-2221.7318740079363,-813.0012499999999,-616.3587053571429
2025-08-17,-2380.4187103174604,-1336.1418253968254,-534.9868303571429
2025-08-24,-2373.422416666667,-1272.9765714285716,-369.40761408730157
2025-08-31,-2856.597513888889,-1639.7698611111111,-634.5087400793651
2025-09-07,-2432.405373015873,-1083.7461904761903,-980.4001240079365
2025-09-14,-2703.551455357143,-769.3274206349206,-1070.1787103174604
2025-09-21,-1950.3559454365081,163.81714285714284,-322.20428571428573
2025-09-28,-2526.3360773809522,-755.8041468253969,-769.1809806547619
2025-10-05,-2315.160773809524,-305.43406746031746,-962.0528561507937
2025-10-12,-2160.3895197916668,155.070873015873,-1124.4291433531746
2025-10-19,-2577.3554141369045,-1025.9899007936508,-1194.3383338293652
2025-10-26,-2508.4913200396827,837.0645634920636,-447.08546676587304
2025-11-02,-2803.1984239583335,67.70958333333333,-888.3134806547619
2025-11-09,-3137.2180357142856,-855.7104761904762,-1170.7073809523808
2025-11-16,-3205.817466666667,-347.03535714285715,-1184.3287182539684
2025-11-23,-2909.667220238095,-1272.1434325396826,-766.1934479166666
2025-11-30,-3420.9316245535715,-2006.2378968253968,-1253.124523809524
2025-12-07,-3600.6705327380955,-2323.429880952381,-1130.8121453373017
2025-12-14,-3492.79230327381,-1471.6004166666667,-1147.246988095238
2025-12-21,-3540.914103125,-1156.2833134920636,-1199.175626984127
2025-12-28,-2961.4623983630954,399.17813492063493,-1030.6058735119047
2026-01-04,-1488.5404680555557,1353.895601851852,-913.9431481481481
