country,country_code,date,source,generation_twh,share_of_generation_pct
Netherlands,NLD,2025,Solar,28.5,21.12
Luxembourg,LUX,2025,Other fossil,0.07,4.55
Luxembourg,LUX,2025,Other renewables,0.0,0.0
Luxembourg,LUX,2025,Solar,0.47,30.52
Luxembourg,LUX,2025,Wind,0.47,30.52
Netherlands,NLD,2025,Bioenergy,6.85,5.08
Netherlands,NLD,2025,Coal,9.55,7.08
Netherlands,NLD,2025,Gas,47.09,34.89
Netherlands,NLD,2025,Hydro,0.05,0.04
Netherlands,NLD,2025,Nuclear,3.99,2.96
Netherlands,NLD,2025,Other fossil,5.23,3.88
Netherlands,NLD,2025,Other renewables,0.0,0.0
Luxembourg,LUX,2025,Nuclear,0.0,0.0
Netherlands,NLD,2025,Wind,33.7,24.97
Norway,NOR,2025,Bioenergy,0.24,0.15
Norway,NOR,2025,Coal,0.0,0.0
Norway,NOR,2025,Gas,0.9,0.56
Norway,NOR,2025,Hydro,144.77,90.03
Norway,NOR,2025,Nuclear,0.0,0.0
Norway,NOR,2025,Other fossil,0.71,0.44
Norway,NOR,2025,Other renewables,0.1,0.06
Norway,NOR,2025,Solar,0.53,0.33
Norway,NOR,2025,Wind,13.56,8.43
Germany,DEU,2025,Hydro,19.56,3.91
France,FRA,2025,Coal,1.74,0.31
France,FRA,2025,Gas,17.25,3.03
France,FRA,2025,Hydro,59.41,10.42
France,FRA,2025,Nuclear,392.07,68.79
France,FRA,2025,Other fossil,10.36,1.82
France,FRA,2025,Other renewables,0.57,0.1
France,FRA,2025,Solar,31.82,5.58
France,FRA,2025,Wind,46.49,8.16
Germany,DEU,2025,Bioenergy,50.53,10.1
Germany,DEU,2025,Coal,103.15,20.61
Germany,DEU,2025,Gas,82.67,16.52
France,FRA,2025,Bioenergy,10.27,1.8
Germany,DEU,2025,Nuclear,0.0,0.0
Germany,DEU,2025,Other fossil,18.91,3.78
Germany,DEU,2025,Other renewables,0.0,0.0
Germany,DEU,2025,Solar,89.62,17.91
Germany,DEU,2025,Wind,136.03,27.18
Luxembourg,LUX,2025,Bioenergy,0.42,27.27
Luxembourg,LUX,2025,Coal,0.0,0.0
Luxembourg,LUX,2025,Gas,0.06,3.9
Luxembourg,LUX,2025,Hydro,0.05,3.25
